,GOTO_B,GOTO_B_noatm,GOTO_G,GOTO_G_noatm,GOTO_L,GOTO_L_noatm,GOTO_R,GOTO_R_noatm,atm,atmosphere,corrector,filter_B,filter_C,filter_G,filter_L,filter_R,lens1,lens2,lens3,lens_coating,mirror,ota,qe,window
633,0.0006441198589376,0.0007077051700265,0.001870414789971,0.002055055745587,0.3963137965607852,0.4354365400897134,0.3904798889676344,0.4290267290773051,0.9101528238285476,-2.85885502746967,0.917104906567516,0.0015906201675,0.9926403809,0.00461889110425,0.9786761093,0.96426958085,0.9645883871291999,0.9850898526265373,0.9946873,0.9966,0.9624559260038558,0.8335813619543798,0.5337500000000001,0.981222
634,0.0006928363461334,0.0007597944449511,0.0016174017506577,0.0017737130453131,0.3956431210602472,0.4338794395564196,0.3910220985323338,0.4288118254419223,0.9118734030465614,-2.8576329317157345,0.9165528593539284,0.0017129603399999,0.9923361206,0.00399884484725,0.978183345825,0.9667583847,0.9645883610216,0.9850898415171735,0.9946474000000001,0.9965,0.9623904726677007,0.8329696810594547,0.5325,0.981226
635,0.0007533098512109,0.0008249566169774,0.0013686237218185,0.0014987925534912,0.3948418390673902,0.4323949663934122,0.3915248219106721,0.4287624700870603,0.913150868431122,-2.8564108359617992,0.9160010890958836,0.0018656140564999,0.9931134033,0.00338947333475,0.9778479385,0.96963315965,0.964588334914,0.9850898304078097,0.9946075,0.9964,0.9623250193315457,0.8323583910081953,0.53125,0.98123
636,0.0008254705500512,0.0009027249381284,0.001150968511011,0.0012586857009322,0.3943338696230158,0.4312389073544185,0.3917606131730747,0.4284248241997654,0.9144208996405052,-2.855188740207864,0.9160010436429202,0.00204656969775,0.9922190857,0.002853569128,0.97766267775,0.971282863625,0.9645883088064,0.9850898192984461,0.9945676,0.9964,0.9622595659953906,0.832248519126876,0.53,0.981234
637,0.0009114342356993,0.0009954589093628,0.0009724754652667,0.001062127499845,0.3937479061265528,0.4300473318251764,0.3920866989186889,0.4282329787423158,0.9155920220582136,-2.8539666444539287,0.9160009981899582,0.0022624409945,0.9924947357,0.002413962821,0.977395153075,0.973271560675,0.9645882826987999,0.9850898081890823,0.9945277,0.9964,0.9621941126592357,0.8321386540346422,0.52875,0.981238
638,0.0010064174205346,0.0010977378302373,0.0008334020647383,0.0009090233888988,0.3934485034691165,0.4291492751376148,0.3923663713446036,0.4279689523946303,0.9168103647453438,-2.8527445486999934,0.9160009527369976,0.00250113889575,0.9923190308,0.00207116279725,0.9777944374,0.97510513305,0.9645882565912,0.9850897970797186,0.9944878,0.9964,0.9621286593230807,0.8320287957315867,0.5275000000000001,0.981242
639,0.0011038261982714,0.0012026506483443,0.0007263171625004,0.000791343608036,0.3927706051135131,0.4279349626146548,0.3920527593558409,0.4271528488478067,0.9178277996116752,-2.851522452946058,0.9154494594054174,0.002748787701,0.9924489594,0.001808701122,0.9780914879,0.976303882575,0.9645882304836,0.9850897859703549,0.9944479,0.9963,0.9620484738760297,0.8313926522081255,0.52625,0.981246
640,0.0011799446580086,0.0012841299356922,0.0006479618757172,0.0007051748030285,0.3925688840918809,0.4272314404426694,0.3920140232834082,0.4266275872284816,0.9188670283374432,-2.850300357192123,0.9154494139798228,0.002942734435,0.9922783661,0.0016159908104999,0.979050979625,0.977667179125,0.964588204376,0.9850897748609911,0.9944080000000001,0.9963,0.9619273820923728,0.8311867198002766,0.525,0.98125
641,0.001229212881757,0.00133641878262,0.0005914696230982,0.0006430546940964,0.3920556328849817,0.4262487966043146,0.391870582231443,0.4260476067430664,0.9197812076145888,-2.8490782614381875,0.91544936855423,0.0030706303565,0.9925402832,0.0014775183424999,0.979373016375,0.978910751325,0.9645881782683999,0.9850897637516275,0.9943681,0.9963,0.9618062903087161,0.8309808120502279,0.52375,0.981254
642,0.0012236577982268,0.0013291319785463,0.0005520369320222,0.0005996202048911,0.3915411168300911,0.4252903222197649,0.3918569204060719,0.4256333467421304,0.9206443137160448,-2.8478561656842523,0.915449323128638,0.0030619523672499,0.9924523163,0.001381359064,0.9797512436,0.9805414772,0.9645881521608,0.9850897526422637,0.9943282,0.9963,0.9616851985250593,0.8307749289582971,0.5225,0.981258
